Day,Open,High,Low,Shares Traded,Turnover in Rs.,Close
Wednesday,905.2,941.4,905.2,38948210,9.78E+09,939.55
Thursday,941.95,944,925.05,49118380,1.15E+10,927.05
Friday,924.3,932.6,919.55,35263845,8.67E+09,931.65
Monday,932.45,937.95,925.65,26323660,6.66E+09,927.8
Tuesday,926.35,935.15,922.25,44473415,1.05E+10,928.8
Wednesday,937.35,953.1,937.35,49517340,1.22E+10,946.7
Thursday,945.15,959.75,943.6,39566905,1.00E+10,956.6
Friday,962.7,984.1,962.7,52001500,1.42E+10,980.35
Monday,978.55,982.25,965.5,40185285,1.10E+10,980.7
Tuesday,984,994.4,977.7,49911225,1.40E+10,989.3
Wednesday,997.5,1042.75,997.05,53368615,1.38E+10,1041.8
Thursday,1064.05,1085.75,995.35,77685385,2.14E+10,1009.4
Friday,994.1,1009.7,976.35,68737285,1.94E+10,1001.75
Monday,1004.1,1005.55,973.95,48113790,1.41E+10,977
Tuesday,972.1,980.2,956.45,51642490,1.43E+10,960.5
Wednesday,971.4,992.9,971.4,51947285,1.44E+10,987.1
Friday,991.05,991.4,979.55,49858775,1.41E+10,985.9
Monday,993.15,1017.3,990.3,63131295,1.84E+10,1009.15
Tuesday,1016,1025.1,1007.95,54183330,1.53E+10,1021.8
Wednesday,1038.1,1043.9,1007.1,69064510,2.00E+10,1017.2
Thursday,1010.6,1012.85,993.5,61831230,1.75E+10,1000
Friday,988.7,988.7,965.85,59785210,1.65E+10,972.65
Monday,967.9,967.9,944.2,53189325,1.40E+10,948.2
Tuesday,947,963.2,944.45,55622410,1.42E+10,958.3
Wednesday,970.75,984.8,959.5,44915395,1.21E+10,962.5
Thursday,960.75,972.4,953.95,49655895,1.35E+10,967.75
Friday,969.5,980.95,966.5,47450205,1.34E+10,978.8
Monday,981,986.75,975.15,45814740,1.35E+10,981.45
Tuesday,980.95,996.05,978.85,40528475,1.16E+10,992.75
Wednesday,991.65,1008.8,990.9,47172975,1.47E+10,1001
Thursday,998.45,1005.1,995.35,31742790,9.34E+09,1002.15
Friday,1001.3,1011.85,1001.1,33065685,9.59E+09,1009.45
Monday,1017.75,1024.3,1015.1,44420840,1.32E+10,1020.1
Tuesday,1020.75,1020.85,998.9,47719085,1.43E+10,1000.75
Wednesday,1004.05,1013.05,993.85,47329340,1.47E+10,1011.85
Thursday,1009.55,1009.6,1000.55,37447640,1.17E+10,1003.1
Friday,1000.75,1002,989.5,34243065,1.02E+10,991.55
Monday,988.7,988.9,961.95,41016040,1.23E+10,964.75
Tuesday,962.6,975.25,954.5,53377450,1.52E+10,966.1
Wednesday,963.95,970.5,956.75,37929265,1.09E+10,968.85
Thursday,972.35,994.5,972.05,43868610,1.21E+10,992.75
Friday,998.25,1006.6,996,62993050,1.89E+10,998.65
Saturday,1070.8,1106.6,1070.8,60588395,1.88E+10,1102.95
Monday,1102.45,1140.65,1095.9,64394880,1.91E+10,1107.7
Tuesday,1111.75,1121.4,1098.2,55906785,1.76E+10,1117.3
Wednesday,1144.25,1167.95,1122.25,72360970,2.29E+10,1132.9
Thursday,1127,1135.75,1119.3,49304015,1.60E+10,1127.25
Monday,1118.8,1118.8,1075.05,50438395,1.58E+10,1078.7
Tuesday,1073.8,1083.35,1046.3,60255030,1.79E+10,1052
Wednesday,1066.55,1088.65,1065.25,48953940,1.52E+10,1074.2
Thursday,1076.85,1078.6,1062.7,34832505,1.13E+10,1066.5
Friday,1062.2,1076.65,1057.55,60180865,1.84E+10,1070.1
Monday,1071.95,1076.25,1065.45,48967040,1.50E+10,1072.6
Tuesday,1072.3,1074.5,1061.05,53280720,1.63E+10,1064.35
Wednesday,1074.25,1079.6,1050,42505710,1.32E+10,1052.05
Thursday,1049,1059.5,1040.95,58859630,1.79E+10,1054.8
Friday,1058.7,1069.5,1058.55,42522100,1.38E+10,1061.4
Tuesday,1064.5,1067.25,1054.5,39647130,1.24E+10,1058.35
Wednesday,1062.5,1067.2,1057.5,36190200,1.12E+10,1059.2
Thursday,1057.45,1059,1047.7,28285480,8.91E+09,1057.8
Monday,1012.15,1012.15,966.8,6628765,1.31E+09,968.3
Tuesday,931.95,973.85,931.5,43678120,1.15E+10,970.15
Wednesday,982.1,1004.65,982.1,34665215,9.67E+09,1002.2
Thursday,1004.3,1012.75,1000.55,30296975,8.69E+09,1010.65
Friday,1001.9,1002,996.6,19923885,5.66E+09,1001
Monday,997.5,998,988,22270765,6.23E+09,990.9
Wednesday,1009.95,1031.15,1009.95,32978520,9.45E+09,1030.3
Thursday,1024.45,1024.7,1000.3,49312145,1.48E+10,1008.35
Friday,993.3,1017.2,985.65,45472615,1.37E+10,1013.4
Saturday,1004.9,1009.9,999.3,24802315,7.82E+09,1003.25
Tuesday,1010.65,1018.6,1010.65,35734080,1.12E+10,1014.9
Thursday,1020.4,1036.15,1018.25,41261385,1.19E+10,1035.2
Monday,1041.45,1061.8,1041.25,44879870,1.35E+10,1060.6
Tuesday,1066.7,1073.9,1056.4,54745025,1.67E+10,1059.8
Wednesday,1065.95,1078.05,1063.85,45202795,1.32E+10,1071.05
Thursday,1071.4,1075.9,1063.3,33622255,1.04E+10,1067.2
Friday,1065.4,1071.05,1062.95,33845925,1.06E+10,1069.4
Monday,1068.6,1070.7,1061.2,34436900,1.09E+10,1065.4
Tuesday,1063.6,1065.4,1052.8,34582745,1.10E+10,1057.45
Wednesday,1081.1,1088.4,1075.95,39887390,1.25E+10,1079.85
Friday,1074.7,1074.7,1063.75,28798865,8.88E+09,1069
Monday,1061.8,1061.8,1043.55,37241005,1.13E+10,1045.5
Tuesday,1045.8,1050.55,1038.75,37307765,1.14E+10,1048.4
Wednesday,1053.1,1055.05,1042.55,33410419,9.77E+09,1044.4
Thursday,1043.7,1055.4,1039.8,26528323,7.50E+09,1054.05
Friday,1054.6,1063,1048.05,29142822,8.37E+09,1053.35
Monday,1052.8,1056.5,1039.05,30568704,9.34E+09,1040.5
Tuesday,1041.05,1042.25,1027.5,32122389,9.92E+09,1031.05
Wednesday,1030.35,1044.15,1018.15,44973518,1.39E+10,1041.65
Thursday,1041.65,1049,1036.25,41608567,1.43E+10,1045
Friday,1043.4,1049.75,1041.1,37267891,1.27E+10,1048.4
Monday,1052.2,1059.25,1048.05,43800440,1.50E+10,1050.8
Tuesday,1051.55,1053.25,1045.3,31737951,1.13E+10,1050.85
Wednesday,1047.5,1049.7,1040.55,37024886,1.12E+10,1042
Thursday,1042.45,1043.8,1034.35,32620180,1.04E+10,1037.2
Friday,1037,1039,1028.75,37947080,1.14E+10,1033.7
Monday,1032.15,1035.8,1025.5,25032876,7.67E+09,1026.9
Tuesday,1027.5,1031.5,1023.45,37217256,1.20E+10,1025.7
Wednesday,1032.5,1035.35,1024.55,30929056,9.51E+09,1027
Thursday,1024.75,1040.05,1023.8,40836478,1.21E+10,1038.2
Friday,1039.85,1051.2,1038.3,46859447,1.46E+10,1050.9
Monday,1053.05,1066.15,1051.05,45577022,1.54E+10,1064.95
Tuesday,1067.65,1081.75,1067.55,55249044,1.92E+10,1073.75
Wednesday,1081.55,1090.95,1078.8,42314259,1.41E+10,1085.75
Thursday,1089.85,1095.5,1082.85,50585490,1.68E+10,1086.6
Friday,1087.5,1091.05,1081.3,37099104,1.20E+10,1082.75
Monday,1082.95,1082.95,1071.55,38198809,1.24E+10,1074.65
Tuesday,1075.3,1084.15,1075.2,39958025,1.27E+10,1081.1
Wednesday,1090.45,1108.95,1090.45,47356987,1.52E+10,1104.6
Thursday,1106.1,1122.2,1105.75,48095769,1.60E+10,1120.7
Friday,1124.95,1147.5,1122.75,70400914,2.41E+10,1136.3
Monday,1135.3,1141.05,1121.85,49674643,1.72E+10,1129.7
Tuesday,1134.9,1145.8,1127.15,56455986,1.91E+10,1138.8
Wednesday,1162.2,1171,1156.05,55267105,1.77E+10,1159.8
Thursday,1151.95,1161.7,1145.35,61698750,2.03E+10,1159.8
Friday,1162.7,1174.15,1154.3,72300595,2.50E+10,1158.35
Monday,1159.6,1163,1149.3,48517830,1.60E+10,1153.7
Tuesday,1154.95,1161.95,1146.85,42541984,1.39E+10,1155.3
Wednesday,1166.1,1175,1158.9,53339769,1.86E+10,1161.9
Thursday,1164,1177.6,1160.25,80960520,2.99E+10,1168.2
Friday,1168.3,1174.75,1165.95,44355310,1.66E+10,1169.65
Monday,1167.45,1194.75,1164.5,48364206,1.89E+10,1192.4
Tuesday,1201.3,1206.1,1193.55,64487336,2.28E+10,1200.45
Wednesday,1214.7,1237.05,1212.6,66334928,2.23E+10,1222.95
Thursday,1222.45,1235.45,1209.45,54582609,1.77E+10,1214.9
Friday,1218.95,1222.6,1209.45,53071615,1.72E+10,1216.1
Monday,1217.4,1226.6,1208.25,50910421,1.69E+10,1209.7
Tuesday,1205.1,1205.8,1193.35,48806050,1.66E+10,1198.25
Wednesday,1211.6,1239.55,1211.6,55538965,1.89E+10,1236.55
Thursday,1248.1,1252.7,1234.95,53761891,1.73E+10,1239.15
Friday,1233.5,1233.5,1217,43429960,1.50E+10,1221.1
Monday,1212.4,1215.6,1176.6,65042286,2.28E+10,1187.05
Tuesday,1190.5,1195.4,1180.75,53412001,1.81E+10,1183.35
Wednesday,1195.55,1207,1179.25,58670957,2.06E+10,1183
Thursday,1182.85,1185.3,1173,57648142,2.07E+10,1181.4
Monday,1171.35,1171.35,1153.75,41901596,1.41E+10,1165
Tuesday,1169.55,1176.4,1165.15,45719564,1.44E+10,1173.25
Wednesday,1184.05,1201.75,1183.9,53154782,1.65E+10,1200.7
Thursday,1204.35,1213.4,1195.2,52901766,1.70E+10,1199.95
Friday,1194.75,1195.95,1179,49251295,1.63E+10,1185.05
Monday,1185.25,1187.85,1176.95,39623336,1.41E+10,1181.65
Tuesday,1182.6,1190.55,1180.1,45249577,1.47E+10,1190.3
Wednesday,1196.65,1205.8,1195.85,41304782,1.32E+10,1197.9
Thursday,1203.95,1224.7,1201.85,56419840,2.01E+10,1221.5
Friday,1224.4,1233.85,1219.9,60689939,2.37E+10,1232.4
Monday,1238.75,1254.5,1237.95,57183962,2.01E+10,1250.4
Tuesday,1250.5,1275.45,1249.7,56500968,2.14E+10,1273.15
Wednesday,1273.65,1297.1,1273.65,10624891,3.81E+09,1292.95
Thursday,1292.8,1292.8,1259.05,55757881,1.93E+10,1269.65
Friday,1269.55,1269.55,1253.2,34344706,1.19E+10,1256.95
Monday,1256.85,1260,1247.65,40338203,1.52E+10,1258.35
Tuesday,1258.5,1272,1243.95,50209945,1.71E+10,1248.45
Wednesday,1248.3,1251.4,1240.9,28312086,9.23E+09,1244.6
Thursday,1244.4,1245.8,1226.1,30421516,9.84E+09,1227.9
Monday,1228.4,1228.45,1198.75,29113926,1.13E+10,1201.45
Tuesday,1201.5,1203.15,1177.1,42448496,1.46E+10,1180.7
Wednesday,1179.55,1200.25,1178.65,38302952,1.33E+10,1198.2
Thursday,1198.8,1212.15,1179.3,39208830,1.32E+10,1181.5
Friday,1181.55,1181.6,1158.45,41583203,1.43E+10,1160.45
Monday,1160.4,1160.4,1119.65,53757798,2.07E+10,1144.3
Tuesday,1144.55,1160.45,1144.05,45303487,1.52E+10,1151.75
Wednesday,1152.4,1184.85,1152.4,41331188,1.50E+10,1168.4
Thursday,1168.4,1168.4,1132.25,48034376,1.75E+10,1134.65
Friday,1134.2,1134.2,1098.9,66419323,2.26E+10,1105
Monday,1105.45,1115,1097.95,48043712,1.56E+10,1104.7
Tuesday,1104.9,1125.85,1102.45,53377562,1.77E+10,1117.15
Wednesday,1118.45,1145.4,1118.45,54904514,1.90E+10,1134.7
Thursday,1134.3,1138.8,1123.7,42314745,1.39E+10,1137.15
Friday,1137.2,1152.3,1137.2,49757000,1.74E+10,1149.25
Monday,1148.7,1160.85,1136.85,36166261,1.28E+10,1158.25
Tuesday,1158.3,1168.35,1154.95,45642666,1.56E+10,1159.55
Wednesday,1159,1159,1143.95,36392714,1.38E+10,1154.55
Thursday,1154.6,1163.3,1152.55,39294780,1.51E+10,1154.3
Friday,1154.2,1154.2,1138.25,33305690,1.20E+10,1142.85
Monday,1142.75,1143.35,1136.3,26854087,1.12E+10,1141
Tuesday,1141.1,1149.25,1137.8,40368005,1.53E+10,1140.15
Wednesday,1140.3,1141.75,1132.75,6781233,2.20E+09,1134.2
Thursday,1133.6,1133.6,1101.65,35459269,1.34E+10,1109.35
Friday,1109.6,1115.15,1099.6,32873578,1.28E+10,1104.3
Monday,1104.25,1104.25,1082.5,33936889,1.36E+10,1085
Tuesday,1084.4,1090.95,1079.6,34741761,1.31E+10,1088.65
Wednesday,1089.15,1108.15,1089.15,29925008,1.14E+10,1100.85
Thursday,1100.85,1112.4,1098.35,41696697,1.77E+10,1111.35
